Party_Name,Chair,Founded,Telephone,Address,Member_Count
Hak ve Adalet Partisi,BURHAN ATAŞ,27.04.2012,0312 434 04 42,Selanik Cad. No: 72/10 Kat:2 Çankaya/Ankara,1.302
Vatan Partisi,Doğu PERİNÇEK,02.03.1992,231 81 11,"Aşağı Öveçler Mahallesi, 1308. Sokak No:12 Çankaya/ANKAR",13.323
Hak ve Hakikat Partisi,Kenan GÜNEŞ - Serkan ARSLAN,29/07/2008,472 66 27,Ceyhun Atıf Kansu cad 1268 Sok 2/6 Balgat/Çankaya/Ankara,111
Vatanseverler Partisi,YILMAZ GÜLÜMSER,20.09.2021,,Kızılay Mahallesi Fevzi Çakmak-1 13 / 7 ÇANKAYA-ANKARA,434
Hak ve Huzur Partisi,Gürsel YILDIZ,15.07.2014,,Sağlık Mah. Sağlık 1. Sok No: 13/6 Çankaya/Ankara,105
Vatan ve Hürriyet Partisi,Yalçın DOĞAN,24.12.2020,,Kültür Mah. Mithatpaşa Cad. No: 61/13 Çankaya/ANKARA,1.199
Hak ve Özgürlükler Partisi,Düzgün Kaplan,11/02/2002,434 35 01,Mithatpaşa Cad.No:24/11 K:6 Kızılay/ANKARA,1.593
Yeni Türkiye Partisi,Engin YILMAZ,08.02.2013,442 56 72,Yıldızevler Mah. Rabindranath Tagore Cad. No:11-9 Çankaya/Ankara,10.349
Halkın Kurtuluş Partisi,Nurullah Efe,15.06.2005,424 06 18,Meşrutiyet Cad.. Karanfil Sok N0:24/15 Kızılay/Ankara,985
Yeni Yol,,13.01.2025,,YUKARI ÖVEÇLER MAH. 1235 CD. PLENTY PLAZA SİT. NO: 9 / 22-23 ÇANKAYA/ANKARA,
Halkın Sesi Partisi,Banu SEVİM,27/09/2023,,Beytepe Mah. Kanuni Sultan Süleyman Bulvarı 5387. Cad. Mira Ofis Kat:4 Daire:15 Çankaya/ANKARA,670
Yeni Yüzyıl Partisi,Mehmet Ali ARSLAN,02.02.2024,0312 320 49 97,HACETTEPE MAH. UZUN KAVAK SK. NO: 12 ALTINDAĞ/ANKARA,51.898
Halkların Demokratik Partisi,Sultan ÖZCAN - Cahit KIRKAZAK,15.10.2012,0312 310 03 13 - 427 17 80,Barbaros Mah. Tahran Cad. Büklüm Sokak No:117 Çankaya/ANKARA,14.539
Halkların Eşitlik ve Demokrasi Partisi,Tulay HATIMOĞULLARI ORUÇ - Tuncer BAKIRHAN,30.11.2012,434 1169,Oğuzlar Mah. 1388. Cad. 32. Sokak No:37 Balgat/Ankara,14.741
Yeniden Diriliş Partisi,İsa İLYASOĞLU,08.06.2021,,GMK Bulvarı No:29/13 Çankaya / Ankara,427
Hür Dava Partisi,Zekeriya YAPICIOĞLU,19.12.2012,472 4832,Tevfik İleri Mah. Emek Cad. No: 2 Pursaklar/ANKARA,14.858
Yeniden Refah Partisi,Muhammed Ali Fatih Erbakan,23.11.2018,,Balgat Mahallesi 1421. Sokak No:15 Balgat/Çankaya/ANKARA,622.847
Hürriyet Partisi,Muhammed Ali GÜL,09.01.2025,,KAVAKLIDERE MAH. MAH. AKAY CD. NO: 14 / 8 ÇANKAYA/ANKARA,
Yenilik Partisi,Öztürk YILMAZ,20.07.2020,,Atatürk Bulvarı no: 231/16 Kavaklıdere-Çankaya/ANKARA,7.888
İnsan ve Özgürlük Partisi,Davut GÜLER - Ahmet KAYA,28.07.2023,,FİDANLIK MAH. SAĞLIK 1 SK. YILDIZ APT. KAT:1 NO: 36/6 KIZILAY ÇANKAYA/ANKARA,0
Yerli ve Milli Parti,Teoman MUTLU,28.07.2023,,AZİZİYE MAH. PİYADE SK. NO: 27 ÇANKAYA/ANKARA,38.118
